Student_ID,GPA,SAT_Score,ACT_Score,Family_Size,Income_Level,Marital_Status,Support_Center_Utilization,Retention_Rate,Graduation_Rate,Life_Event,Institution_Type,Graduation_Age,Major,Study_Hours_Per_Week,Student_Loan_Amount,Campus_Engagement,First_Gen_Student,Enrollment_Status,Distance_From_Home,Work_Hours_Per_Week
1,2.73,1174,26,1,High,Married,0.23,0.72,0.62,Family Issues,Private,22.3,STEM,13.3,30968.51,Low,FALSE,Full-Time,42,16.9
2,2.61,1079,24,4,High,Married,0.15,0.68,0.63,None,Private,23,STEM,25.1,18679.95,Low,TRUE,Full-Time,5,4.4
3,2.81,1197,26,4,Low,Married,0.47,0.61,0.58,None,Public,22.4,Education,15.1,39004.41,Low,FALSE,Full-Time,62.9,9.5
4,3.35,1328,29,1,High,Divorced,0,0.9,0.9,Health Issues,Public,22.5,STEM,13.1,15563.23,Low,FALSE,Full-Time,93.1,4.2
5,3.02,1064,23,1,Middle,Single,0.22,0.61,0.66,None,Public,22.9,Arts,21.8,6533.81,Low,FALSE,Full-Time,63.1,15.5
6,2.43,1064,23,1,Middle,Divorced,0.26,0.54,0.58,None,Private,22.5,STEM,13,28718.06,Medium,FALSE,Full-Time,64.8,14.7
7,3.64,1336,30,4,Low,Single,0.28,0.71,0.65,Family Issues,Private,22,Arts,17.1,21571.52,Low,FALSE,Full-Time,65.2,8.7
8,2.8,1215,27,1,Low,Single,0.36,0.86,0.84,Health Issues,Public,23,Health Sciences,15.3,8249.42,High,FALSE,Full-Time,95.8,8.9
9,2.32,1029,23,1,Middle,Single,0.56,0.56,0.56,None,Public,23.1,Arts,15.7,19196.86,Low,FALSE,Part-Time,65.8,8.3
10,3.2,1181,26,1,Middle,Married,0.37,1,0.99,Family Issues,Public,22,Business,3.1,16445.08,Medium,FALSE,Full-Time,90.8,14.4
11,2.85,1030,23,4,Middle,Single,0.37,0.79,0.78,None,Public,22,Arts,17.2,34594.83,Low,FALSE,Full-Time,80.1,15.4
12,2.83,1030,23,2,Middle,Single,0.42,0.75,0.67,Health Issues,Public,23.5,STEM,19.2,27574.51,Low,FALSE,Full-Time,0,6.1
13,2.45,1136,25,2,Low,Single,0.57,0.55,0.5,None,Public,22.6,Health Sciences,19.2,12766.71,Low,TRUE,Full-Time,59.7,22.6
14,2,813,18,3,Low,Single,0.69,0.5,0.48,Health Issues,Public,22.5,Business,25,20276.32,Low,FALSE,Full-Time,50.9,12.6
15,2.35,841,18,2,Low,Single,0.34,0.64,0.49,None,Private,22.3,Health Sciences,10.7,14142.77,Medium,FALSE,Full-Time,97.2,19.5
16,2.55,1015,22,3,High,Single,0.42,0.63,0.66,Health Issues,Public,22,Arts,10.3,33731.5,Low,FALSE,Full-Time,47.5,11.7
17,2.05,948,21,1,High,Single,0.57,0.5,0.43,None,Public,22.4,STEM,19,14288.28,Low,TRUE,Full-Time,28.3,10
